Id,Company,Primary Industry,Country,Url,Current Rank,Prior Rank,Executive1,Executive2,Earnings Per Share Growth,Cost Of Goods Sold,Current Liabilities,Total Assets,Long Term Debt,Return On Equity,Revenue,Total Company Assets,Revenue Growth,Net Income,Earnings Per Share,Total Equity,Profit Margin,Debt To Equity Ratio,Inventory Turnover
311,Parker Hannifin Corp.,Machinery,United States,www.parker.com,309,339,"Mr. Lee C. Banks, President;Chief Operating Officer","Mr. Thomas L. Williams, Chief Executive Officer",1.46%,,"$2,350 ","$5,583 ",2723.96,15.2048,"$12,711 ","$12,295 ",-3.82%,"$1,012 ",$1.46 ,"$5,104 ",7.97%,0.53%,1300.46
312,Uni-President Enterprises Corp.,Food,Taiwan Province of China,www.uni-president.com.tw,312,336,"Chinyen Kao, Ph.D., Chairman","Kaohuei Cheng, Managing Director",26.54%,,"$4,577 ","$4,214 ",2126.43,15.3326,"$12,664 ","$12,140 ",-2.13%,$429 ,$26.54 ,"$2,931 ",3.39%,0.73%,1045.17
313,Tupras Turkiye Petrol Rafine,Petroleum & Coal Products,Turkey,www.tupras.com.tr,314,NA,"Yavuz Erkut, General Manager","Gurol Acar, Assistant General Manager",74.61%,,"$3,022 ","$2,969 ",2755.13,41.4209,"$12,629 ","$8,719 ",-7.12%,$873 ,$74.61 ,"$2,843 ",6.91%,0.97%,719.644
314,Turkiye Petrol Rafinerileri AS,Petroleum & Coal Products,Turkey,www.tupras.com.tr,313,259,"Yavuz Erkut, General Manager","Gurol Acar, Assistant General Manager",NA,,"$3,022 ","$2,969 ",2755.13,41.4209,"$12,629 ","$8,719 ",-7.12%,$873 ,NA,"$2,843 ",6.91%,0.97%,719.644
315,Grupo Bimbo SA de CV,Food,Mexico,www.grupobimbo.com,315,354,"Mr. Daniel Javier Servitje Montull, Chairman;Chief Executive Officer","Mr. Guillermo Jorge Quiroz Abed, Chief Financial Officer",NA,,"$2,477 ","$1,849 ",3423.76,10.1442,"$12,616 ","$11,491 ",17.18%,$297 ,NA,"$3,393 ",2.36%,1.01%,317.112
316,VF Corp.,Apparel,United States,www.vfc.com,317,364,"Mr. Eric C. Wiseman, Chairman;President",Mr. Steven E. Rendle,19.75%,,"$1,941 ","$4,163 ",1401.82,21.8721,"$12,376 ","$9,639 ",0.77%,"$1,231 ",$19.75 ,"$5,384 ",9.95%,0.26%,1611.99
317,Saipem SpA,Petroleum & Coal Products,Italy,www.saipem.it,316,286,"Umberto Vergine, Chief Executive Officer",,NM,,"$10,301 ","$8,238 ",3094.45,-19.4827,"$12,547 ","$17,774 ",-10.61%,($877),NM,"$3,783 ",-7.00%,0.82%,2489.94
318,Toppan Printing Co. Ltd.,Publishing & Printing,Japan,www.toppan.co.jp,319,351,"Naoki Adachi, Chairman","Shingo Kaneko, President",54.38%,,"$3,838 ","$7,079 ",1730.68,3.77643,"$12,250 ","$15,588 ",-3.42%,$292 ,$54.38 ,"$7,760 ",2.39%,0.22%,703.857
319,TE Connectivity Ltd.,Computers & Other Electronic Products,Switzerland,www.te.com,320,320,"Mr. Thomas J. Lynch, Chairman;Chief Executive Officer","Mr. Terrence R. Curtin, President",37.94%,,"$3,577 ","$7,887 ",3403,26.868,"$12,233 ","$20,608 ",-12.07%,"$2,420 ",$37.94 ,"$9,585 ",19.78%,0.36%,1615
320,Siam Cement Public Co. Ltd.,"Stone, Clay, Glass & Concrete Products",Thailand,www.scg.co.th,322,328,"Mr. Chirayu Isarangkun Na Ayuthaya, Chairman","Mr. Kan Trakulhoon, President;Chief Executive Officer",NA,,"$3,533 ","$4,118 ",3595.67,25.6086,"$12,201 ","$14,154 ",-9.83%,"$1,260 ",NA,"$5,721 ",10.33%,0.63%,1468.15
321,Kyocera Corp.,Computers & Other Electronic Products,Japan,www.kyocera.co.jp,318,352,"Tetsuo Kuba, Chairman","Tatsumi Maeda, Vice-Chairman",-5.89%,,"$3,055 ","$11,918 ",150.482,4.92241,"$12,291 ","$25,710 ",-3.07%,$905 ,($5.89),"$18,975 ",7.37%,0.01%,2723.67
322,Fosun International Ltd.,Miscellaneous,China,www.fosun.com,323,397,"Mr. Guangchang Guo, Chairman","Mr. Xinjun Liang, Vice-Chairman;Chief Executive Officer",6.06%,,"$20,165 ","$21,979 ",10200.7,16.2691,"$12,132 ","$62,411 ",27.63%,"$1,237 ",$6.06 ,"$11,587 ",10.20%,0.88%,361.533
323,Neste Oyj,Petroleum & Coal Products,Finland,www.nesteoil.com,324,240,"Matti Lievonen, Chairman;President","Matti Lehmus, Executive Vice President",890.91%,NA,"$1,972 ","$2,891 ",1578.27,21.1284,"$12,124 ","$7,399 ",-25.85%,$607 ,$890.91 ,"$3,359 ",5.01%,0.47%,1187.24
324,Kao Corp.,Chemicals,Japan,www.kao.com,321,381,"Michitaka Sawada, President","Katsuhiko Yoshida, Senior Managing Director",26.04%,,"$3,135 ","$6,091 ",997.345,15.0193,"$12,226 ","$10,648 ",5.00%,$821 ,$26.04 ,"$5,612 ",6.72%,0.18%,1313.63
325,Atlas Copco AB,Machinery,Sweden,www.atlascopco.com,325,374,"Mr. Hans Straberg, Chairman","Dr. Peter Wallenberg, Sr., Honorary Chairman",-4.10%,,"$3,446 ","$6,326 ",2596.3,23.1676,"$12,118 ","$12,218 ",9.01%,"$1,389 ",($4.10),"$5,526 ",11.47%,0.47%,2005.35
326,Dai Nippon Printing Co. Ltd.,Publishing & Printing,Japan,www.dnp.co.jp,326,369,"Yoshitoshi Kitajima, President","Koichi Takanami, Executive Vice President",28.04%,,"$3,516 ","$5,995 ",1044.61,3.11324,"$12,094 ","$14,276 ",-0.42%,$279 ,$28.04 ,"$8,451 ",2.31%,0.12%,1295.45
327,Compagnie Financiere Richemont AG,Instruments,Switzerland,www.richemont.com,328,345,"Johann Rupert, Chairman","Richard Lepeu, Co-Chief Executive Officer",67.02%,,"$4,570 ","$15,638 ",412.811,11.7052,"$12,064 ","$21,920 ",6.40%,"$1,838 ",$67.02 ,"$16,389 ",15.24%,0.03%,5821.83
328,Voest-Alpine AG,Primary Metals,Austria,www.voestalpine.com,329,318,"Dr. Wolfgang Eder, Chairman","Robert Ottel, Chief Financial Officer",7.72%,,"$3,909 ","$6,118 ",3641.01,11.6174,"$12,056 ","$15,256 ",-1.08%,$637 ,$7.72 ,"$5,959 ",5.29%,0.61%,3238.33
329,Aurubis AG,Primary Metals,Germany,www.aurubis.com,327,330,"Dr. Bernd Drouven, Chief Financial Officer","Mr. Erwin Faust, Chief Financial Officer",210.53%,,"$1,200 ","$2,810 ",553.639,7.06832,"$12,064 ","$4,405 ",-0.97%,$144 ,$210.53 ,"$2,141 ",1.20%,0.26%,1771.54
330,Inventec Corp.,Computers & Other Electronic Products,Taiwan Province of China,www.inventec.com,330,325,"Shihchin Li, Chairman","Chihcheng Wang, President",-21.43%,,"$3,005 ","$4,065 ",343.677,9.66277,"$12,034 ","$5,348 ",-9.21%,$169 ,($21.43),"$1,718 ",1.41%,0.20%,881.31
331,Shanghai Electric Group Co. Ltd.,Machinery,China,www.shanghai-electric.com,332,358,"Jianguo Xu, Chairman;Chief Executive Officer","Dinan Huang, President",-17.06%,,"$15,335 ","$19,808 ",1680.72,6.0839,"$12,011 ","$24,963 ",1.60%,$320 ,($17.06),"$5,735 ",2.67%,0.29%,3235.72
332,"Otsuka Holdings Co., Ltd.",Pharmaceuticals,Japan,www.otsuka.com,333,373,"Ichiro Otsuka, Chairman","Tatsuo Higuchi, President",NA,,"$3,880 ","$9,776 ",1989.77,NA,"$12,005 ","$21,004 ",NA,$698 ,NA,"$13,746 ",5.82%,0.14%,1203.58
333,Oji Holdings Corp.,Paper,Japan,www.ojiholdings.co.jp,336,398,"Kiyotaka Shindo, Chairman","Susumu Yajima, President",-12.04%,,"$4,287 ","$4,851 ",4590.11,2.31518,"$11,908 ","$16,073 ",6.41%,$126 ,($12.04),"$4,932 ",1.06%,0.93%,1637.94
334,Braskem SA,Petroleum & Coal Products,Brazil,www.braskem.com.br,335,255,"Carlos Jose Fadigas de Souza, Filho, Chief Executive Officer","Mario Augusto da Silva, Vice President;Executive Officer",263.58%,,"$4,212 ","$4,418 ",6405.63,52.0015,"$11,938 ","$15,139 ",2.72%,$792 ,$263.58 ,$510 ,6.64%,12.54%,1393.02
335,BYD Co. Ltd.,Miscellaneous,Hong Kong Special Administrative Region of China,www.byd.com.cn,334,465,"Mr. Chuan-fu Wang, Chairman;President","Mr. Long-zhong Yang, Vice President",522.22%,,"$10,179 ","$8,394 ",1729.13,11.131,"$11,950 ","$17,782 ",40.18%,$434 ,$522.22 ,"$4,972 ",3.64%,0.35%,2425.2
336,Sasol Ltd.,Petroleum & Coal Products,South Africa,www.sasol.com,337,248,"Mr. David Edward Constable, President;Chief Executive Officer","Bongani Nqwababa, MBA, Chief Financial Officer",0.89%,NA,"$2,651 ","$6,841 ",2518.32,17.3801,"$11,881 ","$20,752 ",-8.59%,"$1,905 ",$0.89 ,"$12,288 ",16.04%,0.20%,1484.03
337,Solvay SA,Chemicals,Belgium,www.solvay.com,331,347,"Jean-Pierre Clamadieu, Executive Chairman;Chief Executive Officer","Mr. Karim Hajjar, Chief Financial Officer",401.04%,,"$4,717 ","$7,202 ",6130.08,6.18525,"$12,032 ","$27,588 ",3.93%,$442 ,$401.04 ,"$10,263 ",3.68%,0.60%,2033.56
338,Bollore SA,Miscellaneous,France,www.bollore.com,338,341,"Vincent Bollore, Co-Chief Executive Officer","Gilles Alix, Co-Chief Executive Officer",122.22%,,"$7,826 ","$7,377 ",4624.14,6.92337,"$11,813 ","$25,705 ",2.10%,$614 ,$122.22 ,"$10,834 ",5.20%,0.43%,370.767
339,Mitsubishi Materials Corp.,Primary Metals,Japan,www.mmc.co.jp,341,355,"Hiroshi Yao, Chairman","Akira Takeuchi, President",NA,,"$5,784 ","$6,500 ",2497.77,11.1329,"$11,778 ","$14,897 ",-6.55%,$509 ,NA,"$4,612 ",4.32%,0.54%,2148.63
340,Husky Energy Inc.,Petroleum & Coal Products,Canada,www.huskyenergy.ca,340,202,"Mr. Victor T. K. Li, Co-Chairman","Mr. Canning K. N. Fok, Co-Chairman",-434.17%,,"$2,761 ","$2,098 ",4337.94,-18.712,"$11,785 ","$23,800 ",-32.06%,"($2,771)",($434.17),"$11,941 ",-23.52%,0.36%,897.827
341,Toyota Boshoku Corp.,Motor Vehicle Parts,Japan,www.toyota-boshoku.com,342,404,"Shuhei Toyoda, Chairman","Katsumasa Ishii, President",NA,,"$2,900 ","$3,763 ",602.303,1.8073,"$11,760 ","$6,030 ",8.45%,$32 ,NA,"$1,643 ",0.28%,0.37%,372.43
342,Vivendi SA,Miscellaneous,France,www.vivendi.com,343,365,"Jean-Francois Dubos, Executive Chairman","Mr. Jean-Yves Charlier, Executive Board Member",-59.83%,,"$9,602 ","$14,522 ",1693.72,8.5464,"$11,722 ","$38,063 ",6.67%,"$2,104 ",($59.83),"$22,714 ",17.95%,0.07%,127.438
343,Ambev SA,Beverages,Brazil,www.ambev.com.br,339,306,"Pedro Henrique de Sa Earp, Executive Officer","Marcel Martins Regis, Executive Officer",2.63%,,"$7,610 ","$7,149 ",584.984,29.4252,"$11,796 ","$22,768 ",22.69%,"$3,136 ",$2.63 ,"$12,203 ",26.59%,0.05%,1095.33
344,Great Wall Motor Co. Ltd.,Motor Vehicles,China,www.gwm.com.cn,345,432,"Mr. Jian Jun Wei, Chairman","Mr. Ping Fu Liu, Vice-Chairman",NA,,"$4,894 ","$6,219 ",7.69877,24.0923,"$11,707 ","$11,072 ",21.46%,"$1,240 ",NA,"$5,902 ",10.60%,0.00%,634.349
345,Dominion Resources Inc.,Petroleum & Coal Products,United States,www.dom.com,346,361,"Mr. Thomas F. Farrell, II, Chairman;President","Mr. Mark F. McGettrick, Executive Vice President;Chief Financial Officer",42.86%,,"$8,120 ","$4,191 ",23616,16.4344,"$11,683 ","$58,797 ",-6.06%,"$1,899 ",$42.86 ,"$12,664 ",16.25%,1.86%,1348
346,JTEKT Corp.,Fabricated Metal Products,Japan,www.jtekt.co.jp,348,393,"Seiichi Sudo, Chairman","Tetsuo Agata, President",NA,,"$3,202 ","$4,360 ",941.33,10.2793,"$11,629 ","$8,937 ",3.24%,$404 ,NA,"$3,781 ",3.48%,0.25%,1303.79
347,Charoen Pokphand Foods PCL,Food,Thailand,www.cpfworldwide.com,344,378,"Mr. Adirek Sripratak, President;Chief Executive Officer","Mr. Pong Visedpaitoon, Chief Operating Officer;Executive Director",NA,,"$5,170 ","$4,440 ",3338.86,9.40911,"$11,714 ","$13,718 ",-1.08%,$306 ,NA,"$3,229 ",2.62%,1.03%,1446.34
348,ConAgra Foods Inc.,Food,United States,www.conagrafoods.com,347,252,"Mr. Sean M. Connolly, President;Chief Executive Officer","Mr. David S. Marberger, Chief Financial Officer;Executive Vice President",NM,,"$2,532 ","$3,576 ",4917.8,-14.958,"$11,642 ","$13,390 ",-26.46%,($677),NM,"$3,713 ",-5.81%,1.32%,1582.1
349,United States Steel Corp.,Fabricated Metal Products,United States,www.ussteel.com,349,254,"Mr. Mario Longhi, President;Chief Executive Officer","Mr. David B. Burritt, Executive Vice President;Chief Financial Officer",-1728.99%,,"$2,148 ","$3,917 ",3116,-43.2219,"$11,574 ","$9,190 ",-33.89%,"($1,642)","($1,728.99)","$2,436 ",-14.19%,1.28%,2074
350,Astellas Pharma Inc.,Pharmaceuticals,Japan,www.astellas.com,351,414,"Yoshihiko Hatanaka, President","Yoshiro Miyokawa, Executive Vice President",45.96%,,"$3,433 ","$7,455 ",,14.6965,"$11,403 ","$14,947 ",10.06%,"$1,608 ",$45.96 ,"$10,460 ",14.11%,NA,1343.18
351,Zijin Mining Group Co. Ltd.,Primary Metals,China,www.zjky.cn,350,451,"Mr. Jinhe Chen, MBA, Chairman","Mr. Xiaochu Liu, Vice-Chairman",NA,,"$4,854 ","$3,355 ",2702.45,5.90058,"$11,440 ","$12,920 ",26.45%,$254 ,NA,"$4,240 ",2.23%,0.64%,1686.23
352,WestRock Co.,Paper,United States,,352,NA,"Mr. John A. Luke, Jr., Chairman","Mr. Steven C. Voorhees, President;Chief Executive Officer",-10.94%,,"$2,163 ","$4,160 ",5558.3,11.7744,"$11,381 ","$25,356 ",15.02%,$507 ,($10.94),"$11,651 ",4.46%,0.48%,1963.4
353,Weichai Power Co. Ltd.,Motor Vehicle Parts,China,www.weichaipower.com,353,343,"Mr. Xuguang Tan, Chairman;Chief Executive Officer","Mr. Xinyu Xu, President",-72.11%,,"$6,138 ","$8,892 ",2383.56,4.28295,"$11,351 ","$17,687 ",-7.43%,$214 ,($72.11),"$4,885 ",1.89%,0.49%,1823.32
354,Technip,Petroleum & Coal Products,France,www.technip.com,355,368,"Mr. Thierry Pilenko, Chairman;Chief Executive Officer","Mr. Philippe Barril, President",-89.32%,,"$7,677 ","$7,268 ",1771.06,1.0336,"$11,260 ","$14,888 ",2.62%,$49 ,($89.32),"$4,941 ",0.44%,0.36%,469.777
355,Sherwin-Williams Co.,Chemicals,United States,www.sherwin.com,354,399,"Mr. Christopher M. Connor, Executive Chairman","Mr. Thomas P. Gilligan, Senior Vice President",27.11%,,"$2,141 ","$2,658 ",1920.2,105.758,"$11,339 ","$5,791 ",1.88%,"$1,053 ",$27.11 ,$867 ,9.29%,2.21%,1018.53
356,China Greatwall Computer Shenzhen Co. Ltd.,Computers & Other Electronic Products,China,www.greatwall.cn,357,363,"Zhou Gengshen, President","Guo Zhen, Secretary",-161.36%,,"$4,091 ","$4,669 ",456.569,-1.39881,"$11,230 ","$6,075 ",-3.78%,($5),($161.36),$398 ,-0.05%,1.14%,1337.43
357,PTT Global Chemical Public Co. Ltd.,Petroleum & Coal Products,Thailand,www.pttgcgroup.com,358,NA,"Mrs. Thasnalak Santikul, Executive Vice President",,NA,,"$1,144 ","$3,272 ",2663.77,8.6071,"$11,197 ","$10,478 ",-29.72%,$571 ,NA,"$6,426 ",5.11%,0.41%,830.696
358,R.R. Donnelley & Sons Co.,Publishing & Printing,United States,www.rrdonnelley.com,356,383,"Mr. Stephen M. Wolf, Chairman","Mr. Thomas J. Quinlan, III, President;Chief Executive Officer",23.73%,,"$2,337 ","$3,101 ",3188.3,25.4463,"$11,256 ","$7,279 ",-2.99%,$151 ,$23.73 ,$682 ,1.34%,4.67%,592
359,Stanley Black & Decker Inc.,Fabricated Metal Products,United States,www.stanleyblackanddecker.com,359,394,"Mr. John F. Lundgren, Chairman","Mr. James M. Loree, President;Chief Executive Officer",21.64%,,"$2,802 ","$3,662 ",3836.6,13.7453,"$11,171 ","$15,172 ",-1.47%,$883 ,$21.64 ,"$5,811 ",7.91%,0.66%,1526.4
360,Mitsui Chemicals Inc.,Chemicals,Japan,www.mitsuichem.com,360,340,"Tsutomu Tannowa, President;Chief Executive Officer","Masaharu Kubo, Senior Managing Director;Chief Financial Officer",NA,,"$3,025 ","$5,218 ",2818.57,5.65264,"$11,163 ","$10,458 ",-13.30%,$190 ,NA,"$3,173 ",1.71%,0.89%,1999.39
361,Seagate Technology PLC,Computers & Other Electronic Products,Ireland,www.seagate.com,361,327,"Mr. Stephen J. Luczo, Chairman",Mr. William David Mosley,-84.41%,,"$2,249 ","$3,533 ",4130,8.21736,"$11,160 ","$8,252 ",-18.77%,$248 ,($84.41),"$1,593 ",2.22%,2.59%,868
362,UPM - Kymmene Corp.,Paper,Finland,www.upm.com,363,376,"Dr. Bjorn Wahlroos, Ph.D., Chairman","Mr. Berndt Brunow, Deputy Chairman",79.17%,NA,"$2,092 ","$4,284 ",3046.52,12.2493,"$11,042 ","$15,459 ",2.74%,$997 ,$79.17 ,"$8,650 ",9.04%,0.35%,1498.75
363,Asahi Glass Co. Ltd.,"Stone, Clay, Glass & Concrete Products",Japan,www.agc.com,364,395,"Kazuhiko Ishimura, Chairman","Takuya Shimamura, President;Chief Executive Officer",172.24%,,"$2,875 ","$5,296 ",3090.51,3.85455,"$11,017 ","$16,541 ",-1.63%,$356 ,$172.24 ,"$9,089 ",3.24%,0.34%,1955.26
364,Innolux Corp.,Computers & Other Electronic Products,Taiwan Province of China,www.innolux.com,362,332,"Ching-Siang Liao, Chairman","Hsing-Chien Tuan, Vice-Chairman;Chief Executive Officer",-53.07%,,"$3,361 ","$4,226 ",1327.75,4.75014,"$11,081 ","$11,790 ",-15.05%,$329 ,($53.07),"$7,068 ",2.97%,0.19%,919.001
365,Metalurgica Gerdau SA,Primary Metals,Brazil,www.gerdau.com.br,365,301,"Andre Bier Gerdau Johannpeter, Chief Executive Officer","Claudio Johannpeter, Vice President",-428.05%,,"$1,985 ","$5,599 ",6078.25,-14.1345,"$11,003 ","$17,697 ",2.43%,"($1,149)",($428.05),"$8,000 ",-10.44%,0.76%,2217.11
366,AU Optronics Corp.,Computers & Other Electronic Products,Taiwan Province of China,www.auo.com,366,348,"Mr. Paul Shuang-Lang Peng, MBA","Mr. Michael Kuo-Hsin Tsai, President",-58.58%,,"$4,317 ","$4,929 ",2085.74,4.68271,"$10,966 ","$12,149 ",-11.72%,$220 ,($58.58),"$4,808 ",2.01%,0.43%,967.604
367,Stora Enso Corp.,Paper,Finland,www.storaenso.com,367,357,"Jouko Karvinen, Chief Executive Officer","Markus Rauramo, Chief Financial Officer",684.62%,NA,"$2,957 ","$3,881 ",3640.14,15.9172,"$10,935 ","$13,463 ",-1.69%,$878 ,$684.62 ,"$5,868 ",8.04%,0.62%,1495.49
368,Praxair Inc.,Chemicals,United States,www.praxair.com,369,366,"Mr. Stephen F. Angel, Chairman;Chief Executive Officer","Mr. Scott E. Telesz, Executive Vice President",-6.63%,,"$1,893 ","$2,626 ",8975,27.512,"$10,776 ","$18,319 ",-12.20%,"$1,547 ",($6.63),"$4,389 ",14.36%,2.04%,531
369,Estee Lauder Cos. Inc.,Chemicals,United States,www.elcompanies.com,368,402,"Mr. William P. Lauder, Executive Chairman","Mr. Leonard A. Lauder, Chairman Emeritus",-7.84%,,"$2,135 ","$4,468 ",1607.5,28.2472,"$10,780 ","$8,239 ",-1.72%,"$1,088 ",($7.84),"$3,643 ",10.10%,0.44%,1215.8
370,Biogen Inc.,Pharmaceuticals,United States,www.biogenidec.com,370,490,"Dr. Stelios Papadopoulos, Ph.D., Chairman","Mr. Steven H. Holtzman, Executive Vice President",24.01%,,"$2,577 ","$6,700 ",6521.5,32.8152,"$10,763 ","$19,504 ",10.93%,"$3,547 ",$24.01 ,"$9,372 ",32.95%,0.70%,893.4
371,Vedanta Resources PLC,Primary Metals,United Kingdom,www.vedantaresources.com,371,346,"Anil K. Agarwal, Chairman","Navin Agarwal, Deputy Chairman",NM,,"$10,411 ","$11,700 ",11949.5,NM,"$10,737 ","$30,319 ",-16.62%,"($1,837)",NM,($712),-17.11%,NM,1365.8
372,GKN PLC,Motor Vehicle Parts,United Kingdom,www.gkn.com,372,406,"Nigel M. Stein, Chief Executive Officer","William C. Seeger, Financial Director",14.71%,NA,"$3,325 ","$4,159 ",1284.85,13.3198,"$10,715 ","$11,127 ",3.57%,$291 ,$14.71 ,"$2,760 ",2.72%,0.47%,1733.88
373,Shin-Etsu Chemical Co. Ltd.,Chemicals,Japan,www.shinetsu.co.jp,375,416,"Chihiro Kanagawa, Chairman","Fumio Akiya, Vice-Chairman",15.71%,,"$2,342 ","$12,067 ",43.9277,7.59206,"$10,631 ","$20,851 ",1.93%,"$1,236 ",$15.71 ,"$16,851 ",11.63%,0.00%,2334.38
374,Reynolds American Inc.,Tobacco,United States,www.reynoldsamerican.com,373,493,"Ms. Susan M. Cameron, President;Chief Executive Officer","Ms. Lisa J. Caldwell, Executive Vice President;Chief HR Officer",86.91%,,"$5,291 ","$6,187 ",16941,71.9372,"$10,675 ","$53,224 ",26.02%,"$3,253 ",$86.91 ,"$18,252 ",30.47%,0.93%,1734
375,China Agri-Industries Holdings Ltd.,Food,Hong Kong Special Administrative Region of China,www.chinaagri.com,374,370,"Mr. Xubo Yu, MBA, Managing Director","Mr. Jun Lu, Vice President",NM,,"$4,365 ","$4,746 ",231.509,-1.18514,"$10,650 ","$8,676 ",-11.47%,($42),NM,"$3,396 ",-0.40%,0.07%,2080.47
376,Umicore SA,Primary Metals,Belgium,www.umicore.com,376,410,"Marc Grynberg, Chief Executive Officer","Filip Platteeuw, Chief Financial Officer",-1.27%,,"$1,661 ","$2,174 ",77.6586,9.92783,"$10,626 ","$4,389 ",9.80%,$184 ,($1.27),"$1,886 ",1.73%,0.04%,1147.67
377,Hyosung Corp.,Textiles,Korea,www.hyosung.com,377,388,"Suk-Rae Cho, Chairman","Mr. Sang-Woon Lee, Vice-Chairman",82.99%,,"$5,710 ","$3,584 ",2597.38,17.6463,"$10,589 ","$11,910 ",2.31%,$418 ,$82.99 ,"$2,769 ",3.95%,0.94%,1273.46
378,GS Holdings Co. Ltd.,Petroleum & Coal Products,Korea,www.gsholdings.co.kr,379,439,"Mr. Chang-Soo Huh, MBA, Chairman;Chief Executive Officer","Kyung-Suk Suh, Vice-Chairman",NM,,"$2,007 ","$1,654 ",,8.33274,"$10,455 ","$16,168 ",13.21%,$418 ,NM,"$5,372 ",4.00%,NA,240.245
379,Sinopec Shanghai Petrochemical Co. Ltd.,Chemicals,China,www.spc.com.cn,381,305,"Guangdao Rong, MBA, Chairman","Zhiqing Wang, Vice-Chairman;President",NM,,"$1,189 ","$1,253 ",,19.844,"$10,322 ","$4,283 ",-27.70%,$504 ,NM,"$3,048 ",4.88%,NA,643.338
380,L-3 Communications Holdings Inc.,Communications Equipment,United States,www.l-3com.com,378,375,"Mr. Michael T. Strianese, Chairman;Chief Executive Officer","Mr. Ralph G. D'Ambrosio, Senior Vice President;Chief Financial Officer",-138.76%,,"$2,879 ","$4,232 ",3153,-4.54115,"$10,466 ","$12,085 ",-13.68%,($240),($138.76),"$4,355 ",-2.29%,0.72%,333
381,Valeant Pharmaceuticals International Inc.,Chemicals,Canada,www.valeant.com,380,510,"Mr. Joseph C. Papa, Chairman;Chief Executive Officer","Dr. Pavel Mirovsky, President;Region Officer",-132.32%,,"$5,312 ","$5,507 ",30265.4,-5.52525,"$10,446 ","$48,964 ",27.30%,($291),($132.32),"$5,911 ",-2.79%,5.12%,1256.6
382,NH Foods Ltd.,Food,Japan,www.nipponham.co.jp,382,431,"Juichi Suezawa, President","Yoshihide Hata, Executive Vice President",-29.82%,,"$1,668 ","$2,990 ",845.417,6.1581,"$10,306 ","$5,672 ",2.30%,$180 ,($29.82),"$2,960 ",1.76%,0.29%,1141.35
383,Sandvik AB,Fabricated Metal Products,Sweden,www.sandvik.com,385,387,"Mr. Anders Nyren, MBA, Chairman","Mr. Percy N. Barnevik, Honorary Chairman",-62.63%,,"$3,239 ","$5,786 ",3482.38,6.14976,"$10,182 ","$12,009 ",-3.35%,$266 ,($62.63),"$4,030 ",2.62%,0.86%,2552.89
384,Chong Qing Changan Automobile Co. Ltd.,Motor Vehicles,China,www.changan.com.cn,384,441,"Zhu Huarong, Deputy General Manager;Vice-president","Huang Zhongqiang, Vice President",NA,,"$7,741 ","$7,948 ",304.117,38.8212,"$10,281 ","$13,767 ",26.19%,"$1,532 ",NA,"$5,294 ",14.91%,0.06%,1251.68
385,Becton Dickinson & Co.,Medical Instruments & Equipment,United States,www.bd.com,383,494,"Mr. Vincent A. Forlenza, Chairman;President","Mr. Gary M. Cohen, Executive Vice President",-44.07%,,"$4,386 ","$6,045 ",11370,13.7542,"$10,282 ","$26,820 ",21.74%,$695 ,($44.07),"$7,164 ",6.76%,1.59%,1959
386,MEIJI Holdings Co. Ltd.,Food,Japan,www.meiji.com,386,449,"Masahiko Matsuo, President","Takashi Hirahara, Senior Managing Director",NA,,"$2,298 ","$3,014 ",814.066,16.898,"$10,165 ","$7,111 ",5.39%,$519 ,NA,"$3,396 ",5.11%,0.24%,1026.78
387,Navistar International Corp.,Motor Vehicles,United States,www.navistar.com,387,411,"Mr. Troy A. Clarke, President;Chief Executive Officer","Mr. Persio V. Lisboa, President",NM,,"$3,788 ","$4,622 ",4188,NM,"$10,140 ","$6,692 ",-6.16%,($184),NM,"($5,167)",-1.81%,NM,1135
388,Norsk Hydro ASA,Fabricated Metal Products,Norway,www.hydro.com,388,412,"Mr. Dag Mejdell, MBA, Chairman","Mr. Inge K. Hansen, Deputy Chairman",153.85%,,"$1,974 ","$4,102 ",450.348,2.72862,"$10,060 ","$13,904 ",12.13%,$229 ,$153.85 ,"$8,415 ",2.28%,0.05%,1383.38
389,Hydro Aluminum AS,Fabricated Metal Products,Norway,www.hydro.com,391,413,"Dr. Svein Richard Brandtzaeg, Ph.D., President;Chief Executive Officer","Mr. Eivind Kallevik, Executive Vice President;Chief Financial Officer",153.85%,NA,"$1,974 ","$4,102 ",450.348,2.72862,"$10,008 ","$13,904 ",12.62%,$229 ,$153.85 ,"$8,415 ",2.29%,0.05%,1383.38
390,Baxter International Inc.,Medical Instruments & Equipment,United States,www.baxter.com,392,264,"Mr. Jose E. Almeida, Chairman;President","Mr. Brik V. Eyre, Corporate Vice-President;Division Officer",-61.40%,,"$5,750 ","$11,796 ",3935,11.9212,"$9,968 ","$20,975 ",-40.21%,$968 ,($61.40),"$8,846 ",9.71%,0.44%,1604
